Doctor Code,Name of Doctor,1,2,3,4,SPOC,Website Link
AZB69CC2,Ramesh L Raheja,Ramesh,L,Raheja,,,https://vcc.zyla.in/Dr-Ramesh-L-Raheja-AZB69CC2
AZD348E4,Bishnu Prasad Deka,Bishnu,Prasad,Deka,,,https://vcc.zyla.in/Dr-Bishnu-Prasad-Deka-AZD348E4
AZ7714EC,Shradha Doshi,Shradha,Doshi,,,,https://vcc.zyla.in/Dr-Shradha-Doshi-AZ7714EC
AZFBE485,Priti Sanghavi,Priti,Sanghavi,,,,https://vcc.zyla.in/Dr-Priti-Sanghavi-AZFBE485
AZC79B0E,N H Tandon,N,H,Tandon,,,https://vcc.zyla.in/Dr-N-H-Tandon-AZC79B0E
AZ04CAAA,Vinod Methil,Vinod,Methil,,,,https://vcc.zyla.in/Dr-Vinod-Methil-AZ04CAAA
AZFFCF92,Nasir Fulara,Nasir,Fulara,,,,https://vcc.zyla.in/Dr-Nasir-Fulara-AZFFCF92
AZB62479,Sahil Fulara,Sahil,Fulara,,,,https://vcc.zyla.in/Dr-Sahil-Fulara-AZB62479
AZ218AEF,Samrat Shah,Samrat,Shah,,,,https://vcc.zyla.in/Dr-Samrat-Shah-AZ218AEF
AZ3E5B21,Shabbir Baldiwala,Shabbir,Baldiwala,,,,https://vcc.zyla.in/Dr-Shabbir-Baldiwala-AZ3E5B21
AZCF3BA3,Naveen Kumar Gude,Naveen,Kumar,Gude,,,https://vcc.zyla.in/Dr-Naveen-Kumar-Gude-AZCF3BA3
AZF048E1,Deepak Yagnik,Deepak,Yagnik,,,,https://vcc.zyla.in/Dr-Deepak-Yagnik-AZF048E1
AZ1C16D5,Manoj Aggarwal,Manoj,Aggarwal,,,,https://vcc.zyla.in/Dr-Manoj-Aggarwal-AZ1C16D5
AZ531DD7,C K Parekh,C,K,Parekh,,,https://vcc.zyla.in/Dr-C-K-Parekh-AZ531DD7
AZ7AC463,Saurabh Mishra,Saurabh,Mishra,,,,https://vcc.zyla.in/Dr-Saurabh-Mishra-AZ7AC463
AZ959689,Jai Ganesh,Jai,Ganesh,,,,https://vcc.zyla.in/Dr-Jai-Ganesh-AZ959689
AZA071AE,Priyamalini,Priyamalini,,,,,https://vcc.zyla.in/Dr-Priyamalini--AZA071AE
AZ7E16C1,Manoj Kumar Shah,Manoj,Kumar,Shah,,,https://vcc.zyla.in/Dr-Manoj-Kumar-Shah-AZ7E16C1
AZ9556B3,I Subramani,I,Subramani,,,,https://vcc.zyla.in/Dr-I-Subramani-AZ9556B3
AZ14B41B,Vijay Babu,Vijay,Babu,,,,https://vcc.zyla.in/Dr-Vijay-Babu-AZ14B41B
AZ056F6F,Kalaivanan,Kalaivanan,,,,,https://vcc.zyla.in/Dr-Kalaivanan--AZ056F6F
AZ279297,Vikram Vasagan,Vikram,Vasagan,,,,https://vcc.zyla.in/Dr-Vikram-Vasagan-AZ279297
AZF849F0,Venkatachalam,Venkatachalam,,,,,https://vcc.zyla.in/Dr-Venkatachalam--AZF849F0
AZ0C2D3C,SARFARAJ MAJID,SARFARAJ,MAJID,,,,https://vcc.zyla.in/Dr-SARFARAJ-MAJID-AZ0C2D3C
AZCC7F5A,R K Singh,R,K,Singh,,,https://vcc.zyla.in/Dr-R-K-Singh-AZCC7F5A
AZD3AA0A,Saumen Dutta Gupta,Saumen,Dutta,Gupta,,,https://vcc.zyla.in/Dr-Saumen-Dutta-Gupta-AZD3AA0A
AZ88CB2D,Mrinal Kanti Guha,Mrinal,Kanti,Guha,,,https://vcc.zyla.in/Dr-Mrinal-Kanti-Guha-AZ88CB2D
AZ06080B,KAUSIK DATTA,KAUSIK,DATTA,,,,https://vcc.zyla.in/Dr-KAUSIK-DATTA-AZ06080B
AZ03B7E1,GHANSHYAM GOYAL,GHANSHYAM,GOYAL,,,,https://vcc.zyla.in/Dr-GHANSHYAM-GOYAL-AZ03B7E1
AZ0A44F9,Sandip Mandal,Sandip,Mandal,,,,https://vcc.zyla.in/Dr-Sandip-Mandal-AZ0A44F9
AZ6355CD,PULAK GHOSHDASTIDAR,PULAK,GHOSHDASTIDAR,,,,https://vcc.zyla.in/Dr-PULAK-GHOSHDASTIDAR-AZ6355CD
AZ62AC5E,Harshith K S,Harshith,K,S,,,https://vcc.zyla.in/Dr-Harshith-K-S-AZ62AC5E
AZ305E22,VijayKumar.N,VijayKumar.N,,,,,https://vcc.zyla.in/Dr-VijayKumar.N--AZ305E22
AZ7E347C,Rashmi G R,Rashmi,G,R,,,https://vcc.zyla.in/Dr-Rashmi-G-R-AZ7E347C
AZ9741C8,N S Shankar,N,S,Shankar,,,https://vcc.zyla.in/Dr-N-S-Shankar-AZ9741C8
AZ78C570,Vivek M S,Vivek,M,S,,,https://vcc.zyla.in/Dr-Vivek-M-S-AZ78C570
AZ54751D,Praveen,Praveen,,,,,https://vcc.zyla.in/Dr-Praveen--AZ54751D
AZ512015,Veeksha,Veeksha,,,,,https://vcc.zyla.in/Dr-Veeksha--AZ512015
AZB1D858,Mahendra,Mahendra,,,,,https://vcc.zyla.in/Dr-Mahendra--AZB1D858
AZ5448A7,Rajendra Kumar Parekh,Rajendra,Kumar,Parekh,,,https://vcc.zyla.in/Dr-Rajendra-Kumar-Parekh-AZ5448A7
AZ79813C,Santosh Vastrad,Santosh,Vastrad,,,,https://vcc.zyla.in/Dr-Santosh-Vastrad-AZ79813C
AZFD5E7E,Mohan D Kashinkunte,Mohan,D,Kashinkunte,,,https://vcc.zyla.in/Dr-Mohan-D-Kashinkunte-AZFD5E7E
AZ1DC75B,Sanjay S,Sanjay,S,,,,https://vcc.zyla.in/Dr-Sanjay-S-AZ1DC75B
AZ1BF5F2,Hiranmayi Seshu,Hiranmayi,Seshu,,,,https://vcc.zyla.in/Dr-Hiranmayi-Seshu-AZ1BF5F2
AZ12F350,Ashok SN,Ashok,SN,,,,https://vcc.zyla.in/Dr-Ashok-SN-AZ12F350
AZ9C67D1,MN Ashok,MN,Ashok,,,,https://vcc.zyla.in/Dr-MN-Ashok-AZ9C67D1
AZA15400,Vijay Kumar,Vijay,Kumar,,,,https://vcc.zyla.in/Dr-Vijay-Kumar-AZA15400
AZ808C94,Ravindranath,Ravindranath,,,,,https://vcc.zyla.in/Dr-Ravindranath--AZ808C94
AZ020513,Dwarkanath S,Dwarkanath,S,,,,https://vcc.zyla.in/Dr-Dwarkanath-S-AZ020513
AZD42ACE,Ambrish C,Ambrish,C,,,,https://vcc.zyla.in/Dr-Ambrish-C-AZD42ACE
AZEFF38F,Sharat Honnatti,Sharat,Honnatti,,,,https://vcc.zyla.in/Dr-Sharat-Honnatti-AZEFF38F
AZ6AEDE4,Fred Williams,Fred,Williams,,,,https://vcc.zyla.in/Dr-Fred-Williams-AZ6AEDE4
AZ52C1BF,Santosh KM,Santosh,KM,,,,https://vcc.zyla.in/Dr-Santosh-KM-AZ52C1BF
AZ5E8A66,V M Lakshmi,V,M,Lakshmi,,,https://vcc.zyla.in/Dr-V-M-Lakshmi-AZ5E8A66
AZ247270,B. K. Adiseshaiah,B.,K.,Adiseshaiah,,,https://vcc.zyla.in/Dr-B.-K.-Adiseshaiah-AZ247270
AZ3D6DDA,Mohammad Tauseef,Mohammad,Tauseef,,,,https://vcc.zyla.in/Dr-Mohammad-Tauseef-AZ3D6DDA
AZ19E587,G. Prakash,G.,Prakash,,,,https://vcc.zyla.in/Dr-G.-Prakash-AZ19E587
AZB5FE72,Rashila Ganjoo,Rashila,Ganjoo,,,,https://vcc.zyla.in/Dr-Rashila-Ganjoo-AZB5FE72
AZAA5E94,Amita Bhandarkar,Amita,Bhandarkar,,,,https://vcc.zyla.in/Dr-Amita-Bhandarkar-AZAA5E94
AZC4DCF9,Vijay Vardhan,Vijay,Vardhan,,,,https://vcc.zyla.in/Dr-Vijay-Vardhan-AZC4DCF9
AZF529A8,Sumathi K,Sumathi,K,,,,https://vcc.zyla.in/Dr-Sumathi-K-AZF529A8
AZ658A94,Amalaselvam A.,Amalaselvam,A.,,,,https://vcc.zyla.in/Dr-Amalaselvam-A.-AZ658A94
AZ80E438,ANURAG RANJAN,ANURAG,RANJAN,,,,https://vcc.zyla.in/Dr-ANURAG-RANJAN-AZ80E438
AZ22F3CF,Samarth,Samarth,,,,,https://vcc.zyla.in/Dr-Samarth--AZ22F3CF
AZB3C9D5,Renukaprasad A.R,Renukaprasad,A.R,,,,https://vcc.zyla.in/Dr-Renukaprasad-A.R-AZB3C9D5
AZ0A8C92,Narahari MG,Narahari,MG,,,,https://vcc.zyla.in/Dr-Narahari-MG-AZ0A8C92
AZBBDC9D,Rajendra Sharma,Rajendra,Sharma,,,,https://vcc.zyla.in/Dr-Rajendra-Sharma-AZBBDC9D
AZC3443C,Rajdeepak VS,Rajdeepak,VS,,,,https://vcc.zyla.in/Dr-Rajdeepak-VS-AZC3443C
AZA8AC19,Anoop Malhotra,Anoop,Malhotra,,,,https://vcc.zyla.in/Dr-Anoop-Malhotra-AZA8AC19
AZ7102C3,Sumit Wadhwa,Sumit,Wadhwa,,,,https://vcc.zyla.in/Dr-Sumit-Wadhwa-AZ7102C3
AZF44F1E,LALLAN PRASAD,LALLAN,PRASAD,,,,https://vcc.zyla.in/Dr-LALLAN-PRASAD-AZF44F1E
AZB7B2F0,Prem  Kumar,Prem,,Kumar,,,https://vcc.zyla.in/Dr-Prem--Kumar-AZB7B2F0
AZ9DF671,Suma Nair,Suma,Nair,,,,https://vcc.zyla.in/Dr-Suma-Nair-AZ9DF671
AZ0A66E7,Hrishikesh Joshi,Hrishikesh,Joshi,,,,https://vcc.zyla.in/Dr-Hrishikesh-Joshi-AZ0A66E7
AZDD59D9,P Raghu Ramulu,P,Raghu,Ramulu,,,https://vcc.zyla.in/Dr-P-Raghu-Ramulu-AZDD59D9
AZ547544,MAHESH D M,MAHESH,D,M,,,https://vcc.zyla.in/Dr-MAHESH-D-M-AZ547544
AZFC29D2,Anjali.R Chikodi,Anjali.R,Chikodi,,,,https://vcc.zyla.in/Dr-Anjali.R-Chikodi-AZFC29D2
AZ26481F,T UMMER KOYA,T,UMMER,KOYA,,,https://vcc.zyla.in/Dr-T-UMMER-KOYA-AZ26481F
AZ2BCB31,Tarun Kumar Bhuyan,Tarun,Kumar,Bhuyan,,,https://vcc.zyla.in/Dr-Tarun-Kumar-Bhuyan-AZ2BCB31
AZB1CF5A,Narendra Gathani,Narendra,Gathani,,,,https://vcc.zyla.in/Dr-Narendra-Gathani-AZB1CF5A
AZ061CFC,Shrikant Deshpande,Shrikant,Deshpande,,,,https://vcc.zyla.in/Dr-Shrikant-Deshpande-AZ061CFC
AZ5326B5,Sachin Yadav,Sachin,Yadav,,,,https://vcc.zyla.in/Dr-Sachin-Yadav-AZ5326B5
AZ284418,ALEKH MAHAPATRA,ALEKH,MAHAPATRA,,,,https://vcc.zyla.in/Dr-ALEKH-MAHAPATRA-AZ284418
AZF5A959,BTS Kahlon,BTS,Kahlon,,,,https://vcc.zyla.in/Dr-BTS-Kahlon-AZF5A959
AZA4EACA,RITESH CHAKRABORTY,RITESH,CHAKRABORTY,,,,https://vcc.zyla.in/Dr-RITESH-CHAKRABORTY-AZA4EACA
AZADC587,PRABIR KUMAR KUNDU,PRABIR,KUMAR,KUNDU,,,https://vcc.zyla.in/Dr-PRABIR-KUMAR-KUNDU-AZADC587
AZ532CC8,Abdul Mateen Athar,Abdul,Mateen,Athar,,,https://vcc.zyla.in/Dr-Abdul-Mateen-Athar-AZ532CC8
AZ2F48A8,SANJAY SUD,SANJAY,SUD,,,,https://vcc.zyla.in/Dr-SANJAY-SUD-AZ2F48A8
AZBDC7DE,R.P. Shrivastwa,R.P.,Shrivastwa,,,,https://vcc.zyla.in/Dr-R.P.-Shrivastwa-AZBDC7DE
AZ45A011,Rajan Kumar,Rajan,Kumar,,,,https://vcc.zyla.in/Dr-Rajan-Kumar-AZ45A011
AZD72378,Alok Sahay,Alok,Sahay,,,,https://vcc.zyla.in/Dr-Alok-Sahay-AZD72378
AZC60548,Raka Sheohare,Raka,Sheohare,,,,https://vcc.zyla.in/Dr-Raka-Sheohare-AZC60548
AZ722ECB,Abdussamad N M,Abdussamad,N,M,,,https://vcc.zyla.in/Dr-Abdussamad-N-M-AZ722ECB
AZC6AEB1,Sachin Jibhakate,Sachin,Jibhakate,,,,https://vcc.zyla.in/Dr-Sachin-Jibhakate-AZC6AEB1
AZ742AE0,SHEETAL SURESH,SHEETAL,SURESH,,,,https://vcc.zyla.in/Dr-SHEETAL-SURESH-AZ742AE0
AZ68F3FC,Prashant Chaudhary,Prashant,Chaudhary,,,,https://vcc.zyla.in/Dr-Prashant-Chaudhary-AZ68F3FC
AZ9F6E0E,Deepak Bhosle,Deepak,Bhosle,,,,https://vcc.zyla.in/Dr-Deepak-Bhosle-AZ9F6E0E
AZ516416,G.SAKTHIVEL,G.SAKTHIVEL,,,,,https://vcc.zyla.in/Dr-G.SAKTHIVEL--AZ516416
AZB5A678,Prabir Kumar Kar,Prabir,Kumar,Kar,,,https://vcc.zyla.in/Dr-Prabir-Kumar-Kar-AZB5A678
AZ868934,Jashwantsinh P Darbar,Jashwantsinh,P,Darbar,,,https://vcc.zyla.in/Dr-Jashwantsinh-P-Darbar-AZ868934
AZEA4929,Sankar,Sankar,,,,,https://vcc.zyla.in/Dr-Sankar--AZEA4929
AZ1B8D17,Sujith Chandran,Sujith,Chandran,,,,https://vcc.zyla.in/Dr-Sujith-Chandran-AZ1B8D17
AZ80B531,S. S. Ravisankar,S.,S.,Ravisankar,,,https://vcc.zyla.in/Dr-S.-S.-Ravisankar-AZ80B531
AZ9177E4,Arun Bajaj,Arun,Bajaj,,,,https://vcc.zyla.in/Dr-Arun-Bajaj-AZ9177E4
AZ4720E2,Naveen Kumar,Naveen,Kumar,,,,https://vcc.zyla.in/Dr-Naveen-Kumar-AZ4720E2
AZ063CBB,GUTTIKONDA RAJENDRA,GUTTIKONDA,RAJENDRA,,,,https://vcc.zyla.in/Dr-GUTTIKONDA-RAJENDRA-AZ063CBB
AZ93CCDF,BB Jindal,BB,Jindal,,,,https://vcc.zyla.in/Dr-BB-Jindal-AZ93CCDF
AZC6BFAF,Vikash Maskara,Vikash,Maskara,,,,https://vcc.zyla.in/Dr-Vikash-Maskara-AZC6BFAF
AZ096BF6,Gursharan Singh,Gursharan,Singh,,,,https://vcc.zyla.in/Dr-Gursharan-Singh-AZ096BF6
AZD0D201,Ashwini Sharma,Ashwini,Sharma,,,,https://vcc.zyla.in/Dr-Ashwini-Sharma-AZD0D201
AZCC2E8D,Kunal Jhaveri,Kunal,Jhaveri,,,,https://vcc.zyla.in/Dr-Kunal-Jhaveri-AZCC2E8D
AZFFF435,Kodali Raja Rammohan Rao,Kodali,Raja,Rammohan,Rao,,https://vcc.zyla.in/Dr-Kodali-Raja-Rammohan-Rao-AZFFF435
AZ152B8F,"
AV Girisimha Rao",AV,Girisimha,Rao,,,https://vcc.zyla.in/Dr-AV-Girisimha-Rao-AZ152B8F
AZ92F10E,Shaik Mohammad Shafi,Shaik,Mohammad,Shafi,,,https://vcc.zyla.in/Dr-Shaik-Mohammad-Shafi-AZ92F10E
AZ14C2B8,AT Mishra,AT,Mishra,,,,https://vcc.zyla.in/Dr-AT-Mishra-AZ14C2B8
AZ672187,Konda Venugopala Reddy,Konda,Venugopala,Reddy,,,https://vcc.zyla.in/Dr-Konda-Venugopala-Reddy-AZ672187
